text,label,Subject
text,label,Order #6943 Processed Successfully by Weaver-Ashley
"Subject: Your receipt fr Apple.Your Apple ID was used to purchase Premium Plan - Yearly. Receipt Save 3% on all your Apple purchases with Apple Card.1Apply and use in minutes2 APPLE IDahm203 BILLED TOAmex .... 2007 (Apple Pay) 41 4th PlaceBrooklyn, NY 11231USA DATEJan 14, 2024ORDER IDMLDZF0XTKVDOCUMENT NO.207751466946App StoreTiny Scanner: PDF Scanner AppPremium Plan - Yearly (Yearly)Renews Jan 4, 2025AW iPhone 13Report a Problem$29.99Subtotal $29.99 Tax $2.66TOTAL$32.65 Save 3% on all your Apple purchases.Apply and use in minutes 1. 3% savings is earned as Daily Cash and is transferred to your Apple Cash card when transactions post to your Apple Card account. If you do not have an Apple Cash card, Daily Cash can be applied by you as a credit on your statement balance. 3% is the total amount of Daily Cash earned for these purchases. See the Apple Card Custer Agreement for more details on Daily Cash and qualifying transactions.2. Subject to credit approval.To access and use all the features of Apple Card, you must add Apple Card to Wallet on an iPhone or iPad with iOS or iPadOS 13.2 or later. Update to the latest version of iOS or iPadOS by going to Settings > General > Software Update. Tap Download and Install.Available for qualifying applicants in the United States.Apple Card is issued by Goldman Sachs Bank USA, Salt Lake City Branch.If you reside in the US territories, please call Goldman Sachs at 877-255-5923 with questions about Apple Card. Privacy: We use aSubscriber ID to provide reports to developers. Get help with subscriptions and purchases.Visit Apple Support.Learn how to manage your password preferences for iTunes, Apple Books, and App Store purchases.You have the option to stop receiving email receipts for your subscription renewals. If you have opted out, you can still view your receipts in your account under Purchase History. To manage receipts or to opt in again, go toAccount Settings. Apple ID Summary â¢ Terms of Sale â¢ Privacy Policy Copyright Â© 2024 Apple Inc.All rights reserved Receipt Save 3% on all your Apple purchases with Apple Card.1Apply and use in minutes2APPLE IDahm203ORDER IDMLDZF0XTKVDOCUMENT NO.207751466946 DATEJan 14, 2024 BILLED TOAmex .... 2007 (Apple Pay) 41 4th PlaceBrooklyn, NY 11231USA App StoreTiny Scanner: PDF Scanner AppPremium Plan - Yearly (Yearly)Renews Jan 4, 2025AW iPhone 13Report a Problem$29.99Subtotal $29.99Tax $2.66TOTAL$32.65 Save 3% on all your Apple purchases.Apply and use in minutes 1. 3% savings is earned as Daily Cash and is transferred to your Apple Cash card when transactions post to your Apple Card account. If you do not have an Apple Cash card, Daily Cash can be applied by you as a credit on your statement balance. 3% is the total amount of Daily Cash earned for these purchases. See the Apple Card Custer Agreement for more details on Daily Cash and qualifying transactions.2. Subject to credit approval.To access and use all the features of Apple Card, you must add Apple Card to Wallet on an iPhone or iPad with iOS or iPadOS 13.2 or later. Update to the latest version of iOS or iPadOS by going to Settings > General > Software Update. Tap Download and InstallAvailable for qualifying applicants in the United States.Apple Card is issued by Goldman Sachs Bank USA, Salt Lake City Branch.If you reside in the US territories, please call Goldman Sachs at 877-255-5923 with questions about Apple Card. Privacy: We use aSubscriber ID to provide reports to developers. Get help with subscriptions and purchases.Visit Apple Support.Learn how to manage your password preferences for iTunes, Apple Books, and App Store purchases.You have the option to stop receiving email receipts for your subscription renewals. If you have opted out, you can still view your receipts in your account under Purchase History. To manage receipts or to opt in again, go toAccount Settings. Apple ID Summary â¢ Terms of Sale â¢ Privacy Policy Copyright Â© 2024 Apple Inc.All rights reserved",invoice,Thank You for Your Order #8394 - Hill-Anderson
"ELECTRONIC TICKETBILLET ELECTRONIQUE
 
YOUR BOOKING REFERENCE
RÃFÃRENCE DE VOTRE RÃSERVATIONRPOZ6A
At the airport, you must present proof of identity.
Ã l'aÃ©roport, vous devez prÃ©senter une piÃ¨ce d'identitÃ©.
 
SAVE TIME
GAGNEZ DU TEMPS
Scan this bar code at one of our
interactive kiosks to receive your
boarding pass.
Obtenez votre carte d'embarquement
en scannant ce code-barres Ã  une
borne.PASSENGERS
PASSAGERSTicket Number
NumÃ©ro de billetFOID
Identifiant
  (Adult / Adulte) 057 230 650 970 4 Carte DL / cardDL :
2156947356
ITINERARY / ITINÃRAIRE
Date
DateDeparture
DÃ©partArrival
ArrivÃ©eFlight
VolLatest check-in time
Fin enregistrementTotal baggage**
Total bagages**Cabin
CabineClass
ClasseStatus*
Statut*
06NOV01:45
Delhi
DEL
Indira Gandhi Intl
Airport 3
 07:25
Paris
CDG
AÃ©roport Charles
de Gaulle 2EAF0225
Flight operated by Air France/
Vol effectuÃ© par Air France00:45 1x23 Kg Econy
classV
Seat/SiÃ¨ge : 38LOK
06NOV10:15
Paris
CDG
AÃ©roport Charles
de Gaulle 2E
 13:00
Los Angeles
LAX
Los Angeles
International
Airport BAF0066
Flight operated by Air France/
Vol effectuÃ© par Air France09:15 1x23 Kg Econy
classV
Seat/SiÃ¨ge : 49LOK
(*) OK=confirmed (*) OK=confirmÃ©
** Total amount of baggage allowed in the hold for all passengers on
the reservation (number of bags allowed included in the ticket price;
excluding  FlyingÂ Blue  extra  baggage  allowance;  excluding  the
Additional  Baggage  Option).  Beyond  that,  you  will  be  charged  an
additional  fee  at  the  airport.  This  information  is  valid  for  flights
operated  by  AirÂ France  and  KLM.** Total des bagages transportÃ©s en soute pour l'ensemble des passagers
de  la  rÃ©servation  (nbre  de  bagages  autorisÃ©  inclus  dans  le  prix  du
billet;  hors  franchise  supplÃ©mentaire  FlyingÂ Blueâ;  hors  Option  Bagage
supplÃ©mentaire).  Au-delÃ ,  vous  devrez  acquitter  un  supplÃ©ment  Ã 
l'aÃ©roport.  Ces  informations  sont  valables  pour  les  vols  effectuÃ©s  par
AirÂ France  et  KLM.
For  more  information  about  baggage,  please  visit  the  âBaggageâ
chapter  of  the  âInformationâ  section,  on  the  Air  France  website.Pour  plus  d'informations  concernant  les  bagages,  veuillez  consulter  le
site  Air  France,  rubrique  Informations,  Bagages.
AIR FRANCE WISHES YOU A VERY PLEASANT TRIP / AIR FRANCE VOUS SOUHAITE UN AGREABLE VOYAGE
This document confirms that your electronic ticket(s) has(have) been
created in our systems. It does not allow access on board. For more
information, please visit the website Air France
(http://www.airfrance.c).Ce document confirme la crÃ©ation de votre (vos) billet(s) Ã©lectronique(s)
dans nos systÃ¨mes informatiques. Il ne permet pas l'accÃ¨s Ã  bord. Pour
plus d'informations, consultez le site Air France
(http://www.airfrance.c).BEFORE YOUR FLIGHT
AVANT VOTRE DÃPART
To review, cplete or modify your reservation (if allowed in
your rate), please contact us:
Pour consulter, cplÃ©ter ou modifier votre rÃ©servation (si
votre tarif le permet), veuillez nous contacter :
Air France website, âYour Reservationsâ section
Site internet Air France, rubrique Vos rÃ©servations
By phone at 1 800 237 27 47
Par tÃ©lÃ©phone au 1 800 237 27 47
DURING YOUR TRIP
PENDANT VOTRE VOYAGE
To modify your reservation (if allowed in your fare), please
contact us:
Pour modifier votre rÃ©servation (si votre tarif le permet),
veuillez nous contacter :
Air France website, âYour Reservationsâ section
Site internet Air France, rubrique Vos rÃ©servations
By phone at  1-800-237-2747
Par tÃ©lÃ©phone au  1-800-237-2747
At an Air France point of sale
Dans un point de vente Air France
AFTER YOUR TRIP
APRÃS VOTRE VOYAGE
After your trip, you can contact our custer service :
AprÃ¨s votre voyage, vous pouvez contacter notre service
client :
By e-mail, in the âContact Usâ section of the Air France
Par e-mail, dans la rubrique Nous contacter du site internet Air
France
by mail TSA 60001 / 60035 Beauvais Cedex
par courrier TSA 60001 / 60035 Beauvais Cedex
By phone at 1-800-237-2747
Par tÃ©lÃ©phone au 1-800-237-2747
You  can  check  the  CO2  emissions  of  your  flight  on  the  Air  France
corporate  website.Vous pouvez consulter les Ã©missions de CO2 liÃ©es Ã  votre voyage, sur le
site corporate Air France.
Receipt / ReÃ§u de paiement
Name
NTicket Number
NumÃ©ro de billetForm of
PaymentMode de paiementFare
excludingTarif HTTaxes, carrier surcharge and applicable
ticketing fees
Taxes, surcharge transporteur et frais de service
 
(Adult / Adulte)057 230 650 970 4 Amex
Carte AmexINR 17280.00 USD 21.90 Airport tax / Taxe aÃ©roport
USD 230.00 Carrier surcharge / Surcharge transporteur
USD 8.00 Sustainable Fuel Contribution / Contribution aux
carburants dâaviation durables
USD 0.00 Service Fees / Frais de service
USD 83.29 Other taxes / Autres taxes
Total cost / Montant total : USD 551.19
Date and place of issue / Date et lieu d'Ã©mission : 22 Sep 2023 DIR - WEB USA NEW YORK
IATA: 33993120
Restriction(s) / Restriction(s) : BG:AF
The  fare  is  applicable  for  a  ticket  used  fully,  in  sequential  order  for  the
specified  journey  and  on  the  specified  dates.  As  outlined  in  the  General
Conditions of Carriage, any non-cpliant use noticed on the day of travel
may incur an additional flat-rate fee at the airport for the amount of: â¬125 in
the Econy cabin and â¬300 in the Business cabin, for flights within Europe
(including  metropolitan  France  and  Corsica),  â¬500  in  the  Econy  and
Premium Econy cabins, â¬1,500 in the Business and LaÂ PremiÃ¨re cabins (or
the equivalent in local currency), for intercontinental flights.Le tarif rÃ©servÃ© est valable pour un billet utilisÃ© intÃ©gralement, en respectant
l'ordre  et  les  dates  du  parcours  mentionnÃ©.  ConformÃ©ment  aux  Conditions
gÃ©nÃ©rales  de  transport,  toute  utilisation  non  conforme  constatÃ©e  le  jour  du
voyage entraÃ®nera le paiement d'un supplÃ©ment tarifaire forfaitaire Ã  l'aÃ©roport
s'Ã©levant Ã Â : 125Â â¬ en cabine Econy et 300Â â¬ en cabine Business, pour les vols
en Europe (France mÃ©tropolitaine et Corse incluses), 500Â â¬ en cabines Econy
et  Premium  Econy,  1Â 500Â â¬  en  cabines  Business  et  LaÂ PremiÃ¨re  (ou
Ã©quivalent  en  monnaie  locale),  pour  les  vols  intercontinentaux.
For  more  information,  please  consult  the  âYour  bookingâ  section  on  the  Air
France  web  site   by  clicking  herePour  plus  d'information,  veuillez  consulter  le  site  Air  France,  rubrique  Vos
rÃ©servations   en  cliquant  ici",invoice,Thank You for Your Order #9242 - Green PLC
"ORDER #8049We got your order. Hi , we're getting your order ready to be shipped. Weâll let you know when itâs on the way. Please note that due to high volume, delivery times may take a bit longer than usual. No need to worry, our team is working hard to get you your order as soon as possible. View your orderor Visit our storeOrder summary(6-Pack) Sea Salt Flackers Ã 2 $68.28 Discount FLAXFALL-$13.65Subtotal$54.63Shipping$0.00Taxes$0.00Total$54.63 USDYou saved $13.65Custer informationShipping address   41 4th Place Brooklyn NY 11231 United States Billing address   41 4th Place Brooklyn NY 11231 United States Shipping method Free Shipping Payment method ending with 2007 â $54.63 If you have any questions, reply to this email or contact us at admin@flackersc",invoice,Details of Your Recent Purchase (Order #3349) from Cross and Sons
"ORDER #12345

Dear Sarah,

Thank you for shopping with SuperMart Online! Your recent purchase is confirmed, and we are processing your order. We'll notify you once your items are shipped.

Order Summary:
Item                      Quantity    Price
----------------------------------------
Organic Apples          2                  $5.99
Whole Grain Bread  1                  $3.49
Greek Yogurt             3                  $2.99

Subtotal: $32.41
Shipping: $5.00
Tax: $2.13
Total: $39.54 USD

Delivery Address:
Sarah Johnson
123 Main Street
Apt 4B
Cityville, CA 98765
United States

Payment Method:
Credit Card ending in 1234

If you have any questions or concerns, please reply to this email or contact our custer support at support@supermart.c.

Thank you for choosing SuperMart Online!

Best regards,
SuperMart Online Custer Service",invoice,Order #3609 Processed Successfully by Bailey-Robinson
"ORDER #56789

Hello Mark,

Your order is confirmed! We are preparing your latest tech gear for shipment. You will receive a notification once your order is on its way.

Order Details:
Item                         Quantity     Price
---------------------------------------------
Smartphone               1                    $799.99
Wireless Earbuds      2                    $129.99
Tech Backpack         1                    $59.99

Subtotal: $989.95
Shipping: $10.00
Tax: $74.25
Total: $1,074.20 USD

Shipping Address:
Mark Thpson
123 Tech Lane
Apt 7C
CityTech, CA 98765
United States

Payment Method:
Visa ending in 9876

For any inquiries, please reply to this email or contact our support team at support@egadgets.c.

Thank you for choosing E-Gadgets Store!

Best regards,
E-Gadgets Store Custer Support",invoice,"Order #7555 Processed Successfully by Henderson, Smith and King"
"ORDER #98765

Hello Jessica,

Your recent fashion order is confirmed! Our team is preparing your stylish items for shipment. You'll receive a tracking link once your package is on the way.

Order Summary:
Item                         Quantity     Price
---------------------------------------------
Chic Dress                1                    $79.99
Designer Handbag  1                    $149.99
High Heels                1                    $69.99

Subtotal: $299.97
Shipping: $15.00
Tax: $24.00
Total: $338.97 USD

Shipping Address:
Jessica Reynolds
456 Fashion Street
Suite 12
Trendyville, CA 98765
United States

Payment Method:
MasterCard ending in 5678

If you have any questions, please reply to this email or contact our fashion advisors at style@fashionhaven.c.

Thank you for shopping at Fashion Haven!

Best regards,
Fashion Haven Custer Care",invoice,Receipt of Payment for Order #8016 from Cox-Moreno
"ORDER #24680

Hello Mia,

Your gourmet order is confirmed! Our chefs are preparing your culinary delights for shipping. Once dispatched, you'll receive a confirmation email with tracking details.

Order Details:
Item                         Quantity     Price
---------------------------------------------
Truffle Oil                   1                    $29.99
Artisanal Cheese      3                    $45.99
Italian Pasta             2                    $12.99

Subtotal: $88.97
Shipping: $8.00
Tax: $7.11
Total: $104.08 USD

Delivery Address:
Mia Thpson
789 Culinary Lane
Apt 5D
Gourmetville, CA 98765
United States

Payment Method:
American Express ending in 3456

For any inquiries, please reply to this email or reach out to our gourmet specialists at taste@gourmetdelights.c.

Thank you for choosing Gourmet Delights!

Best regards,
Gourmet Delights Custer Support",invoice,"Receipt of Payment for Order #1434 from Baldwin, Jones and Figueroa"
"ORDER #54321

Dear Michael,

Your literary escape order is confirmed! Our team is preparing your chosen books for dispatch. You'll receive a notification with tracking information once your order is on its way.

Order Summary:
Item                         Quantity     Price
---------------------------------------------
Bestseller Novel      2                    $19.99
Classic Poetry         1                    $14.99
Mystery Thriller     3                    $27.99

Subtotal: $62.96
Shipping: $5.00
Tax: $4.80
Total: $72.76 USD

Shipping Address:
Michael Barnes
123 Bookworm Street
Apt 8E
Readerville, CA 98765
United States

Payment Method:
Visa ending in 7890

If you have any questions, please reply to this email or contact our book enthusiasts at reading@bookhaven.c.

Happy Reading!
Book Haven Custer Service",invoice,Thank You for Your Order #5467 - Curtis-Cunningham
